Name,Allocation
ADM.L,10
AGK.L,10
AAL.L,10
ANTO.L,10
ABF.L,10
AZN.L,10
AV.L,10
BAB.L,10
BA.L,10
BARC.L,10
BP.L,10
BLND.L,10
BNZL.L,10
BRBY.L,10
CPI.L,10
CUK.L,10
CNA.L,10
CCH.L,10
CPG.L,10
CRH.L,10
CRDA.L,10
DGE.L,10
EVR.L,10
EXPN.L,10
FRES.L,10
GFS.L,10
GKN.L,10
GSK.L,10
GLEN.L,10
HMSO.L,10
HL.L,10
HSBA.L,10
IMI.L,10
IHG.L,10
IAG.L,10
ITRK.L,10
ITV.L,10
SBRY.L,10
JMAT.L,10
KGF.L,10
LAND.L,10
LGEN.L,10
LLOY.L,10
MKS.L,10
MGGT.L,10
MRO.L,10
MRW.L,10
NG.L,10
NXT.L,10
OML.L,10
PFC.L,10
PRU.L,10
RRS.L,10
RB.L,10
REL.L,10
RIO.L,10
RR.L,10
RBS.L,10
RDSA.L,10
RSA.L,10
SGE.L,10
SDR.L,10
SRP.L,10
SVT.L,10
SNN.L,10
SMIN.L,10
SSE.L,10
STAN.L,10
TATE.L,10
TSCO.L,10
TLW.L,10
ULVR.L,10
UU.L,10
VED.L,10
VOD.L,10
WEIR.L,10
WTB.L,10
WPP.L,10
